species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,iucn_category,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,ocean,basin,food_i,food_mode,temp_min,temp_max,climate,body_shape_i,temp_cons,sp_richness,circadian,dev_place,longevity_wild,temp_preferred,fecundity_mean,oxygen_cons,temp_range
Engraulis encrasicolus,Engraulidae,3817500,migratory,pelagic neritic,20,NA,222703.8889,0.556514588,3.192849836,Actinopteri,LC,0.060991803,0.060991803,5.523838677,8.13e-6,0.32,NA,0.010401397,39.352493,37,0.010401397,37,-2,2,2,2: low/mid,2,66,Engraulis,Clupeiformes,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",elongated,NA,151,NA,planktonic,5,17.666666666666668,11710,1897.86812375,16
Engraulis japonicus,Engraulidae,760000,pelagic oceanic,pelagic neritic,18,NA,1215063.273,0.795607578,3.14,Actinopteri,LC,0.020686774,0.020686774,69.37218463,8.13e-6,0.259189177,NA,0.010445309,47.47253833,47,0.010445309,47,-2,2,2,2: low/mid,2,1663,Engraulis,Clupeiformes,"Atlantic, Indian Ocean, Pacific",Both,"others, plants, zoobenthos, zooplankton",generalist,8,30,"boreal, Boreal, subtropical, Subtropical, temperate, tropical, Tropical",elongated,16.2,151,NA,planktonic,4,25,2885045.223853211,2018.7926653333334,22
Engraulis mordax,Engraulidae,360000,pelagic oceanic,pelagic neritic,24.799999239999998,NA,424727.4555,0.452423043,3.174171555,Actinopteri,LC,0.003297,0.003297,3.75,8.13e-6,0.220164213,NA,0.004865479,35.53136196,32.5,0.004865479,32.5,-3,2,2,2: low/mid,2,1664,Engraulis,Clupeiformes,Pacific,East,"detritus, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate",elongated,NA,151,NA,planktonic,7,13,2885045.223853211,1897.86812375,16
Engraulis ringens,Engraulidae,470000,pelagic oceanic,pelagic neritic,20,NA,6557901.089,0.648902669,2.950032091,Actinopteri,LC,0.021204,0.021204,69.37218463,8.13e-6,0.259189177,NA,0.009782264,61.71822154,74,0.009782264,74,-3,3,8,3: mid/high,3,4,Engraulis,Clupeiformes,Pacific,East,"plants, zoobenthos, zooplankton",generalist,13,23,"Subtropical, temperate, tropical",elongated,0,151,NA,planktonic,3,16,2885045.223853211,84,10
Eopsetta jordani,Pleuronectidae,1140000,habitat_benthic,demersal,53,NA,46749.37249,0.112547735,4.108085582,Actinopteri,LC,0.04451615,0.04451615,4.438338373,0.003804817,0.301662063,NA,0.049505279,64.39376202,NA,0.049505279,64.39376202,-2,3,8,3: mid/high,3,4237,Eopsetta,Pleuronectiformes,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, Subtropical, temperate",short and / or deep,NA,67,NA,planktonic,35,9,2885045.223853211,137.51355371900826,6.84999996026357
Epigonus telescopus,Epigonidae,8827500,habitat_deep,bathydemersal,75,NA,13691.58919,0.097286004,3.59,Actinopteri,LC,0.048,0.048,39.83,0.02094379,3.75,NA,0.065250825,50.41641654,NA,0.065250825,50.41641654,-2,2,2,2: low/mid,2,2508,Epigonus,Acropomatiformes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, subtropical, Subtropical, temperate, Temperate, tropical, Tropical",fusiform / normal,NA,46,NA,2002-03-26T00:00:00Z,104,19,2885045.223853211,NA,NA
Epinephelus aeneus,Serranidae,1792500,migratory,demersal,120,NA,5733.711363,0.173225323,4.033372459,Actinopteri,NT,0.029410133,0.029410133,69.37218463,0.004257833,0.166702532,NA,0.068507162,50.45733321,NA,0.068507162,50.45733321,-2,2,2,2: low/mid,2,426,Epinephelus,Perciformes/Serranoidei,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus areolatus,Serranidae,12137500,habitat_coastal,reef-associated,47,NA,5778.412723,0.322549477,3.74,Actinopteri,LC,0.048,0.048,24.63249455,0.015758747,8.5,NA,0.119185781,39.74889187,18,0.119185781,18,-1,1,4,1: mid/low,1,5367,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,15,28,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus chlorostigma,Serranidae,13235000,habitat_coastal,reef-associated,80,NA,363.1224699,0.314979131,4.005355039,Actinopteri,LC,5.55,5.55,91382,0.027348309,23.22898081,NA,1.559643527,39.15809811,NA,1.559643527,39.15809811,0,2,6,5: mid/mid,5,5524,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,29,28,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus fuscoguttatus,Serranidae,9805000,habitat_reef,reef-associated,120,NA,144.5838132,0.269601411,4.145442143,Actinopteri,VU,0.027348309,0.027348309,24.51591858,0.0013065,0.166702532,NA,0.062403648,33.8602726,NA,0.062403648,33.8602726,-2,2,2,2: low/mid,2,4460,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,40,27,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus goreensis,Serranidae,562500,habitat_benthic,demersal,140,NA,641.958191,0.286760108,3.958659337,Actinopteri,NT,0.022602017,0.022602017,69.37218463,0.003297,0.263365588,NA,0.119300261,49.41437008,NA,0.119300261,49.41437008,-1,2,2,2: low/mid,2,4961,Epinephelus,Perciformes/Serranoidei,Atlantic,East,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus marginatus,Serranidae,2530000,territorial,reef-associated,150,dusky grouper,43372.70186,0.110074674,4.43,Actinopteri,VU,0.048,0.048,28773,0.0034,1.779346088,0.005312,0.163253304,38.60000998,24.6,0.005312,24.6,-3,1,4,1: mid/low,1,6470,Epinephelus,Perciformes/Serranoidei,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,60,26,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus merra,Serranidae,9600000,habitat_reef,reef-associated,36.5,NA,15891.93816,0.431465308,3.82,Actinopteri,LC,0.222006046,0.222006046,8.5,0.014020895,0.419377278,NA,0.04890777,29.92500375,34.3,0.04890777,34.3,-2,2,2,2: low/mid,2,4923,Epinephelus,Perciformes/Serranoidei,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27.11764705882353,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus morio,Serranidae,3007500,habitat_benthic,reef-associated,125,red grouper,44841.13184,0.214918572,3.5,Actinopteri,VU,0.027348309,0.027348309,42.10249306,0.0034,0.218337659,2.09,0.061036077,53.7506019,40,2.09,40,0,2,6,5: mid/mid,5,17,Epinephelus,Perciformes/Serranoidei,Atlantic,West,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,25,26,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus morrhua,Serranidae,9242500,habitat_reef,reef-associated,90,NA,204.5017043,0.270980627,3.986676758,Actinopteri,LC,0.145837,0.145837,23.22898081,0.021204,4.17,NA,0.067772186,34.67757053,NA,0.067772186,34.67757053,-2,2,2,2: low/mid,2,5353,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,28,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus multinotatus,Serranidae,615000,habitat_reef,reef-associated,100,NA,3257.873463,0.272952283,3.883946215,Actinopteri,LC,0.025016,0.025016,7.849166287,0.004257833,0.040637322,NA,0.06742398,37.34714184,NA,0.06742398,37.34714184,-2,2,2,2: low/mid,2,7354,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,28,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus polylepis,Serranidae,1007500,habitat_benthic,demersal,61,NA,2055.955937,0.281408755,3.89,Actinopteri,LC,0.027348309,0.027348309,8.5,0.0034,0.218337659,NA,0.047240147,52.87685851,NA,0.047240147,52.87685851,-2,2,2,2: low/mid,2,7358,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",West,,specialist,NA,NA,"subtropical, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27.11764705882353,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus striatus,Serranidae,2580000,habitat_reef,reef-associated,122,nassau grouper,2316.178743,0.263107501,4.06,Actinopteri,CR,0.029410133,0.029410133,69.37218463,0.004257833,0.145837,0.018305,0.069628112,39.21400964,42,0.018305,42,-2,2,2,2: low/mid,2,18,Epinephelus,Perciformes/Serranoidei,Atlantic,West,"nekton, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,566,diurnal,planktonic,29,26,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus summana,Serranidae,345000,habitat_reef,reef-associated,52,NA,154.7495583,0.286760108,3.89,Actinopteri,LC,0.003297,0.003297,3.75,6.45e-6,0.029410133,NA,0.007895878,39.78773094,NA,0.007895878,39.78773094,-3,2,2,2: low/mid,2,7366,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,,specialist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27,2885045.223853211,194.93333333333334,5.130434782608695
Epinephelus tauvina,Serranidae,13810000,habitat_reef,reef-associated,100,greasy grouper,14708.16501,0.187076498,4.136103002,Actinopteri,DD,0.77,0.77,91382,0.014020895,23.92044613,0.344,1.692605614,35.52875374,NA,0.344,35.52875374,-1,2,2,2: low/mid,2,4461,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27,2885045.223853211,194.93333333333334,5.130434782608695
Eptatretus cirrhatus,Myxinidae,1312500,habitat_benthic,bathydemersal,97,NA,1765.180643,0.14925158,4.948608206,Myxini,LC,0.04451615,0.04451615,23.22898081,0.0034,0.75925,NA,0.063140017,52.79401611,NA,0.063140017,52.79401611,-2,2,2,2: low/mid,2,23878,Eptatretus,Myxiniformes,Pacific,West,others,specialist,NA,NA,"subtropical, Subtropical, temperate",eel-like,5,83,NA,2002-03-26T00:00:00Z,NA,9,2885045.223853211,7.36,11.5
Ethmalosa fimbriata,Clupeidae,467500,habitat_coastal,pelagic neritic,46,NA,391365.8495,0.690830323,2.576466614,Actinopteri,LC,0.040637322,0.040637322,69.37218463,0.020686774,0.364,NA,0.080558134,38.78619663,NA,0.080558134,38.78619663,-2,2,2,2: low/mid,2,1594,Ethmalosa,Clupeiformes,Atlantic,East,"detritus, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,190,NA,planktonic,8.566666669315762,27,2885045.223853211,576.7602106451614,13.575
Ethmidium maculatum,Clupeidae,310000,habitat_coastal,pelagic neritic,31.200000760000002,NA,32220.37839,1.165208538,2.07,Actinopteri,DD,8.13e-6,8.13e-6,3.790022135,6.45e-6,0.003297,NA,0.002424207,42.46396412,NA,0.002424207,42.46396412,-3,2,2,2: low/mid,2,1593,Ethmidium,Clupeiformes,Pacific,East,"nekton, plants, zooplankton",generalist,NA,NA,"Subtropical, temperate, tropical",fusiform / normal,NA,190,NA,planktonic,8.566666669315762,18,2885045.223853211,576.7602106451614,13.575
Etrumeus whiteheadi,Dussumieriidae,227500,habitat_coastal,pelagic neritic,22,NA,402624.5557,0.423849558,3.454345763,Actinopteri,LC,8.13e-6,8.13e-6,0.638683313,6.45e-6,0.025016,NA,0.002101719,33.69506383,NA,0.002101719,33.69506383,-3,2,2,2: low/mid,2,1456,Etrumeus,Clupeiformes,"Atlantic, Indian Ocean",Both,zooplankton,specialist,NA,NA,"Subtropical, tropical, Tropical",elongated,NA,9,NA,planktonic,NA,20,2885045.223853211,NA,NA
Euthynnus affinis,Scombridae,14720000,pelagic oceanic,pelagic neritic,100,NA,2460508.938,0.630833414,4.5,Actinopteri,LC,23.22898081,23.22898081,138546.9177,0.027348309,28773,NA,3.791478621,32.98945594,NA,3.791478621,32.98945594,0,2,6,5: mid/mid,5,96,Euthynnus,Scombriformes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,18,29,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,24,54,NA,planktonic,10,28,434227,503,11
Euthynnus alletteratus,Scombridae,5647500,hms,pelagic oceanic,122,NA,115033.1049,0.330255295,4.49,Actinopteri,LC,0.04451615,0.04451615,42.10249306,0.014020895,0.3026,NA,0.090618991,30.59830953,24,0.090618991,24,-2,1,4,1: mid/low,1,97,Euthynnus,Scombriformes,"Atlantic, Mediterranean and Black Sea",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, Temperate, tropical",fusiform / normal,NA,54,NA,planktonic,10,24,2885045.223853211,503,11
Euthynnus lineatus,Scombridae,477500,pelagic oceanic,pelagic oceanic,84,NA,15997.52595,0.516132309,3.855928723,Actinopteri,LC,0.025016,0.025016,69.37218463,0.017712,1.254059326,NA,0.073248952,27.18352132,NA,0.073248952,27.18352132,-2,1,4,1: mid/low,1,98,Euthynnus,Scombriformes,Pacific,East,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"Subtropical, temperate, tropical",fusiform / normal,NA,54,NA,planktonic,10,28,2885045.223853211,503,11
Eutrigla gurnardus,Triglidae,2227500,habitat_benthic,demersal,60,NA,147714.1468,0.181531455,3.87,Actinopteri,NA,0.04451615,0.04451615,8.5,0.006904422,0.77,NA,0.051979046,55.31665192,NA,0.051979046,55.31665192,-2,2,2,2: low/mid,2,68,Eutrigla,Perciformes/Scorpaenoidei,"Atlantic, Mediterranean and Black Sea",Both,"nekton, others, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate",elongated,NA,126,NA,planktonic,14.142857142857142,6,2885045.223853211,NA,16
Fistularia corneta,Fistulariidae,792500,habitat_reef,pelagic neritic,106,NA,2562.317579,0.858533703,4.481651192,Actinopteri,LC,0.029410133,0.029410133,220.625,0.007726488,0.75925,NA,0.086061017,35.14450956,NA,0.086061017,35.14450956,-2,2,2,2: low/mid,2,8289,Fistularia,Syngnathiformes,Pacific,East,nekton,specialist,NA,NA,"subtropical, Subtropical, temperate, tropical",elongated,NA,4,NA,planktonic,NA,23,2885045.223853211,NA,NA
Gadiculus argenteus,Gadidae,1740000,habitat_deep,pelagic oceanic,15.25,NA,159.7449863,0.917086686,3.6,Actinopteri,NA,0.020686774,0.020686774,0.419377278,8.13e-6,0.32,NA,0.00972907,37.48686894,NA,0.00972907,37.48686894,-3,2,2,2: low/mid,2,1875,Gadiculus,Gadiformes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate, Temperate",fusiform / normal,NA,22,NA,planktonic,3,7.055555555555555,2885045.223853211,121.0634536097561,9.333333333333334
Gadus macrocephalus,Gadidae,2920000,habitat_deep,demersal,119,NA,1100617.358,0.254822292,3.97,Actinopteri,NA,0.040637322,0.040637322,9.919689167,0.017712,0.43700397,NA,0.066027761,47.69530642,NA,0.066027761,47.69530642,-2,2,2,2: low/mid,2,308,Gadus,Gadiformes,"Arctic Ocean, Atlantic, Pacific",Both,"nekton, others, plants, zoobenthos, zooplankton",generalist,6,9,"boreal, polar, subtropical, Subtropical, temperate",fusiform / normal,4.125,22,NA,planktonic,25,6,2885045.223853211,68.8675,3
Gadus morhua,Gadidae,4322500,migratory,benthopelagic,200,atlantic cod,1024823.823,0.368813682,4.09,Actinopteri,VU,0.524649642,0.524649642,69.37218463,0.030306525,7.78,0.524649642,0.263105037,84.57648848,120.25,0.524649642,120.25,-1,5,9,4: mid/veryhigh,4,69,Gadus,Gadiformes,"Arctic Ocean, Atlantic, Mediterranean and Black Sea",Both,"nekton, others, plants, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, Subtropical, temperate, Temperate, tropical",fusiform / normal,11.195364238410596,22,nocturnal,planktonic,25,5.25,2885045.223853211,127.71091390728476,9
Galeoides decadactylus,Polynemidae,197500,habitat_coastal,demersal,50,NA,44470.1575,0.509571815,3.613111148,Actinopteri,NT,0.003297,0.003297,4.438338373,6.45e-6,0.3026,NA,0.009452993,35.51666297,NA,0.009452993,35.51666297,-3,2,2,2: low/mid,2,341,Galeoides,Carangaria/misc,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,42,NA,2002-03-26T00:00:00Z,20,25,2885045.223853211,NA,4
Gasterochisma melampus,Scombridae,63335000,deep,pelagic oceanic,164,NA,20.80741126,0.596518223,4.341564088,Actinopteri,LC,23.22898081,23.22898081,93840.98602,0.007641758,24.63249455,NA,8.262882849,41.02734204,NA,8.262882849,41.02734204,0,2,6,5: mid/mid,5,100,Gasterochisma,Scombriformes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, others, zoobenthos",generalist,NA,NA,"polar, subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,54,NA,2002-03-26T00:00:00Z,12.33529416252585,24.90909090909091,2885045.223853211,524.3454545454546,6.5
Gasterosteus aculeatus,Gasterosteidae,6017500,habitat_coastal,benthopelagic,11,NA,579.8245284,0.997632856,3.31,Actinopteri,LC,0.0013065,0.0013065,10.48565514,8.13e-6,0.32,NA,0.010010257,37.26381718,35,0.010010257,35,-2,2,2,2: low/mid,2,2420,Gasterosteus,Perciformes/Gasterosteoidei,"Arctic Ocean, Atlantic, Mediterranean and Black Sea, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,4,20,"boreal, polar, subtropical, Subtropical, temperate, Temperate",fusiform / normal,10.75,18,NA,in open nest,8,7,2885045.223853211,275.32083083333333,16
Genyonemus lineatus,Sciaenidae,135000,habitat_benthic,benthopelagic,41,NA,822.3303962,0.624615121,3.482363184,Actinopteri,NT,0.003297,0.003297,0.77,6.45e-6,0.060991803,NA,0.005923398,41.59549948,NA,0.005923398,41.59549948,-3,2,2,2: low/mid,2,422,Genyonemus,Eupercaria/misc,Pacific,East,"nekton, zoobenthos",generalist,NA,NA,"Subtropical, temperate",fusiform / normal,NA,286,NA,planktonic,15,13,2885045.223853211,525.6001112222223,7.125
Genypterus blacodes,Ophidiidae,2330000,habitat_benthic,bathydemersal,200,NA,209832.9261,0.130878043,4.182798704,Actinopteri,NA,0.025016,0.025016,39.83,0.0017922,0.75925,NA,0.189987792,56.68640933,NA,0.189987792,56.68640933,-1,2,2,2: low/mid,2,482,Genypterus,Ophidiiformes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",elongated,NA,259,NA,2002-03-26T00:00:00Z,30,16,1200000,6.72,5.00000047683716
Genypterus capensis,Ophidiidae,127500,habitat_benthic,bathydemersal,180,NA,24613.76694,0.18214067,4.425616351,Actinopteri,NA,0.0017922,0.0017922,27.3197105,6.45e-6,0.054107361,NA,0.026190372,49.36957741,NA,0.026190372,49.36957741,-2,2,2,2: low/mid,2,485,Genypterus,Ophidiiformes,Atlantic,East,"nekton, zoobenthos",generalist,NA,NA,"Subtropical, tropical",elongated,NA,259,NA,2002-03-26T00:00:00Z,30,21,2885045.223853211,6.72,5.00000047683716
Genypterus chilensis,Ophidiidae,125000,habitat_benthic,bathydemersal,150,NA,22836.35898,0.203416315,3.939981057,Actinopteri,NA,0.0017922,0.0017922,7.78,6.45e-6,0.025016,NA,0.017974519,49.28743459,NA,0.017974519,49.28743459,-2,2,2,2: low/mid,2,483,Genypterus,Ophidiiformes,Pacific,East,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"Subtropical, temperate, tropical",elongated,NA,259,NA,2002-03-26T00:00:00Z,30,23,2885045.223853211,6.72,5.00000047683716
Gerres nigri,Gerreidae,572500,habitat_benthic,benthopelagic,20,NA,1825.975119,1.495810086,3.258223817,Actinopteri,LC,0.003297,0.003297,0.902079429,8.13e-6,0.115398472,NA,0.008747135,51.94826106,NA,0.008747135,51.94826106,-3,2,2,2: low/mid,2,9907,Gerres,Eupercaria/misc,Atlantic,East,"detritus, nekton, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,53,NA,planktonic,NA,25,2885045.223853211,NA,3
Gerres oblongus,Gerreidae,9027500,habitat_reef,reef-associated,30,NA,14.31732558,1.495810086,3.547737166,Actinopteri,LC,0.0013065,0.0013065,4.477796392,8.13e-6,0.218337659,NA,0.009914161,35.72425066,NA,0.009914161,35.72425066,-3,2,2,2: low/mid,2,5801,Gerres,Eupercaria/misc,"Indian Ocean, Pacific",Both,"detritus, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,53,NA,planktonic,NA,28,2885045.223853211,NA,3
Gerres oyena,Gerreidae,8420000,habitat_coastal,reef-associated,30,NA,563.1579604,1.594337758,2.819284225,Actinopteri,LC,0.0013065,0.0013065,4.477796392,8.13e-6,0.3026,NA,0.010373126,36.669512,NA,0.010373126,36.669512,-2,2,2,2: low/mid,2,5996,Gerres,Eupercaria/misc,"Indian Ocean, Pacific",Both,"detritus, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,53,NA,planktonic,NA,27,2885045.223853211,NA,3
Glossanodon semifasciatus,Argentinidae,532500,pelagic oceanic,benthopelagic,22.700000760000002,NA,67613.97225,0.518660964,3.211528116,Actinopteri,NA,0.025016,0.025016,4.438338373,8.13e-6,0.3026,NA,0.010040391,36.50574414,NA,0.010040391,36.50574414,-2,2,2,2: low/mid,2,257,Glossanodon,Argentiniformes,Pacific,West,"zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical",elongated,NA,27,NA,planktonic,18.666666666666668,24,2885045.223853211,NA,7.800001144409229
Glyptocephalus cynoglossus,Pleuronectidae,3570000,habitat_benthic,demersal,60,NA,64040.31605,0.149820154,3.17,Actinopteri,NA,0.218337659,0.218337659,8.5,0.017712,0.77,NA,0.054540757,62.06826834,NA,0.054540757,62.06826834,-2,3,8,3: mid/high,3,26,Glyptocephalus,Pleuronectiformes,Atlantic,Both,"nekton, zoobenthos, zooplankton",generalist,2,6,"boreal, polar, Subtropical, temperate, Temperate",short and / or deep,NA,67,NA,planktonic,25,6,2885045.223853211,137.51355371900826,4
Glyptocephalus zachirus,Pleuronectidae,1320000,habitat_benthic,demersal,60,NA,23361.49095,0.186545885,3.25,Actinopteri,NA,0.025016,0.025016,8.5,0.0034,0.341291664,NA,0.052659071,58.77544029,NA,0.052659071,58.77544029,-2,2,2,2: low/mid,2,4238,Glyptocephalus,Pleuronectiformes,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, Subtropical, temperate",short and / or deep,NA,67,NA,planktonic,27,6,2885045.223853211,137.51355371900826,4
Gnathanodon speciosus,Carangidae,13205000,habitat_reef,reef-associated,120,NA,5597.438488,0.706049385,3.865267935,Actinopteri,LC,0.3026,0.3026,91382,0.021204,23.22898081,NA,1.938641305,33.8977854,NA,1.938641305,33.8977854,0,2,6,5: mid/mid,5,4464,Gnathanodon,Carangiformes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,147,NA,planktonic,20.363636363636363,28,2885045.223853211,6715.0254549090905,5.222222222222222
Grammoplites suppositus,Platycephalidae,1385000,habitat_benthic,demersal,31,NA,144.2168111,0.42142105,3.84,Actinopteri,LC,0.003297,0.003297,0.77,8.13e-6,0.311178405,NA,0.006786129,43.21965804,NA,0.006786129,43.21965804,-3,2,2,2: low/mid,2,28128,Grammoplites,Perciformes/Scorpaenoidei,Indian Ocean,Both,"detritus, nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, tropical, Tropical",fusiform / normal,NA,81,NA,2002-03-26T00:00:00Z,16,27,2885045.223853211,NA,NA
Gymnosarda unicolor,Scombridae,12880000,pelagic oceanic,reef-associated,247.9799957,NA,2718.783662,0.596518223,4.481651192,Actinopteri,LC,5.55,5.55,28773,0.022602017,24.63249455,NA,1.018822835,41.03592716,NA,1.018822835,41.03592716,0,2,6,5: mid/mid,5,106,Gymnosarda,Scombriformes,"Indian Ocean, Pacific",Both,nekton,specialist,20,28,"subtropical, Subtropical, temperate, tropical, Tropical",fusiform / normal,NA,54,NA,planktonic,12.33529416252585,28,2885045.223853211,524.3454545454546,8
Haemulon plumierii,Haemulidae,2540000,habitat_reef,reef-associated,53,NA,431.5592646,0.578655171,3.82,Actinopteri,LC,0.222006046,0.222006046,77.88114116,0.021891852,0.419377278,NA,0.06364978,26.61130503,22.6,0.06364978,22.6,-2,1,4,1: mid/low,1,1140,Haemulon,Eupercaria/misc,Atlantic,West,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,134,diurnal,planktonic,12,26.4375,2885045.223853211,155.13333333333333,5
Harpadon nehereus,Synodontidae,7832500,habitat_benthic,benthopelagic,60.97000122,NA,1686496.541,0.452219992,4.089407301,Actinopteri,NA,0.04451615,0.04451615,4.17,0.003297,0.635594387,NA,0.047992176,51.20201578,NA,0.047992176,51.20201578,-2,2,2,2: low/mid,2,260,Harpadon,Aulopiformes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",elongated,NA,76,NA,planktonic,7,28,41130,NA,9.9000015258789
