species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,temp_min,body_shape_i,sp_richness,iucn_category,fishbase_name,dev_place,temp_max,longevity_wild,temp_preferred,fecundity_mean,fecundity_max,oxygen_cons,temp_range
Diagramma pictum,Haemulidae,11305000,habitat_reef,reef-associated,100,NA,13.09966939,0.515127504,3.7,Actinopteri,0.029410133,0.029410133,23.36565604,0.004257833,0.568260947,NA,0.133311862,30.56637522,NA,0.133311862,30.56637522,-1,2,2,2: low/mid,2,4465,Diagramma,Eupercaria/misc,NA,fusiform / normal,133,NT,Painted sweetlips,in close association with substrate,NA,9.833333333333334,28,45384,855067,155.13333333333333,5
Diapterus auratus,Gerreidae,2477500,habitat_coastal,demersal,42.79999924,NA,1378.245233,1.366610205,2.44,Actinopteri,0.145837,0.145837,220.625,0.02094379,0.419377278,NA,0.080050256,46.75275281,NA,0.080050256,46.75275281,-2,2,2,2: low/mid,2,3563,Diapterus,Eupercaria/misc,NA,fusiform / normal,53,LC,Irish mojarra,in close association with substrate,NA,NA,26.666666666666668,NA,NA,NA,4
Diastobranchus capensis,Synaphobranchidae,3097500,habitat_deep,bathydemersal,180,NA,2.752697054,0.367639439,4.481651192,Actinopteri,0.218337659,0.218337659,220.625,0.022602017,7.78,NA,0.247710997,34.13703664,NA,0.247710997,34.13703664,-1,2,2,2: low/mid,2,6957,Diastobranchus,Anguilliformes,3,eel-like,41,NA,Basketwork eel,in close association with substrate,4,NA,17,NA,702383.5,53.44,1
Dicentrarchus labrax,Moronidae,1665000,habitat_coastal,demersal,103,european seabass,51902.73934,0.531450639,3.519719745,Actinopteri,0.029410133,0.029410133,69.37218463,0.017712,0.20397299,0.017712,0.076335818,42.01468486,49.17666667,0.017712,49.17666667,-2,2,2,2: low/mid,2,63,Dicentrarchus,Eupercaria/misc,8,fusiform / normal,6,LC,European seabass,planktonic,24,30,11,520228,808581,369.74999625,16
Dicentrarchus punctatus,Moronidae,1585000,habitat_coastal,pelagic-neritic,70,NA,1535.080603,0.492643838,3.958659337,Actinopteri,0.040637322,0.040637322,4.17,0.017712,0.364,NA,0.067018166,26.6434582,NA,0.067018166,26.6434582,-2,1,4,1: mid/low,1,394,Dicentrarchus,Eupercaria/misc,NA,fusiform / normal,6,LC,Spotted seabass,planktonic,24,30,19,NA,808581,369.74999625,16
Dicologlossa cuneata,Soleidae,1607500,habitat_benthic,demersal,30,NA,33465.21927,0.218533515,3.379632641,Actinopteri,0.003297,0.003297,0.445649557,8.13e-6,0.060991803,NA,0.007260438,56.34244405,NA,0.007260438,56.34244405,-3,2,2,2: low/mid,2,526,Dicologlossa,Pleuronectiformes,NA,short and / or deep,185,LC,Wedge sole,in close association with substrate,NA,16.079999923706055,27,NA,303850,142.60999999999999,9.333333333333334
Diplodus annularis,Sparidae,1425000,habitat_coastal,benthopelagic,28,NA,3757.532876,0.781098688,3.64,Actinopteri,0.020686774,0.020686774,0.911706935,8.13e-6,0.32,NA,0.01047701,35.82613324,NA,0.01047701,35.82613324,-2,2,2,2: low/mid,2,1752,Diplodus,Eupercaria/misc,NA,fusiform / normal,162,LC,Annular seabream,planktonic,NA,17,11,78347.25,138694.5,227.5,8
Diplodus sargus,Sparidae,2037500,habitat_reef,demersal,45,white seabream,9479,0.54,3.38,Actinopteri,0.222006046,0.222006046,0.77,0.060991803,0.390708752,0.222006046,0.064888564,30.31937879,NA,0.222006046,30.31937879,-1,2,2,2: low/mid,2,1753,Diplodus,Eupercaria/misc,NA,fusiform / normal,162,LC,White seabream,planktonic,NA,10,23,200792.5,352430,227.5,8
Diplodus vulgaris,Sparidae,1907500,habitat_reef,benthopelagic,45,two-banded seabream,1123.212743,0.582831707,3.52,Actinopteri,0.32,0.32,0.760318212,0.060991803,0.419377278,0.419377278,0.063574479,28.18450401,NA,0.419377278,28.18450401,-1,1,4,1: mid/low,1,1754,Diplodus,Eupercaria/misc,NA,fusiform / normal,162,LC,Common two-banded seabream,planktonic,NA,18.6,18,73154,316750,227.5,8
Dissostichus eleginoides,Nototheniidae,6025000,deep,pelagic-oceanic,215,NA,111783.5265,0.107371089,4.49,Actinopteri,0.04451615,0.04451615,28773,0.0017922,0.764606108,NA,0.213902996,56.50242511,NA,0.213902996,56.50242511,-1,2,2,2: low/mid,2,467,Dissostichus,Perciformes/Notothenioidei,NA,fusiform / normal,56,NA,Patagonian toothfish,planktonic,NA,31,7,391989.5,545665,71.3952775,6
Drepane africana,Drepaneidae,545000,habitat_coastal,benthopelagic,45,NA,20718.22779,0.477805346,3.174171555,Actinopteri,0.222006046,0.222006046,7.78,0.025016,0.419377278,NA,0.071494083,30.33113058,NA,0.071494083,30.33113058,-2,2,2,2: low/mid,2,455,Drepane,Acanthuriformes,NA,short and / or deep,3,LC,African sicklefish,in close association with substrate,NA,NA,27,NA,NA,NA,NA
Drepane punctata,Drepaneidae,9855000,habitat_coastal,reef-associated,50,NA,12343.76467,0.537312901,3.379632641,Actinopteri,0.218337659,0.218337659,8.5,0.019141686,0.419377278,NA,0.067488475,29.92457393,NA,0.067488475,29.92457393,-2,1,4,1: mid/low,1,454,Drepane,Acanthuriformes,NA,short and / or deep,3,LC,Spotted sicklefish,in close association with substrate,NA,NA,28,NA,NA,NA,NA
Dussumieria acuta,Dussumieriidae,3960000,habitat_coastal,pelagic-neritic,20,NA,166890.2184,0.8976476,3.454345763,Actinopteri,0.003297,0.003297,69.37218463,8.13e-6,0.3026,NA,0.011496414,36.95358062,NA,0.011496414,36.95358062,-2,2,2,2: low/mid,2,1453,Dussumieria,Clupeiformes,NA,fusiform / normal,14,LC,Rainbow sardine,in close association with substrate,NA,NA,28,NA,21023,NA,NA
Dussumieria elopsoides,Dussumieriidae,9642500,habitat_coastal,pelagic-neritic,20,NA,749.7783262,0.787176662,3.454345763,Actinopteri,2.14e-4,2.14e-4,8.5,8.13e-6,0.259189177,NA,0.009815923,36.30987032,NA,0.009815923,36.30987032,-3,2,2,2: low/mid,2,1454,Dussumieria,Clupeiformes,NA,fusiform / normal,14,LC,Slender rainbow sardine,in close association with substrate,NA,NA,28,NA,21023,NA,NA
Elagatis bipinnulata,Carangidae,15267500,pelagic,reef-associated,180,NA,55659.46335,0.893428233,4.27,Actinopteri,23.22898081,23.22898081,93840.98602,0.048,24.63249455,NA,12.79190768,37.63538674,NA,12.79190768,37.63538674,1,2,6,5: mid/mid,5,412,Elagatis,Carangiformes,NA,fusiform / normal,148,LC,Rainbow runner,planktonic,NA,6,28,2024876,2627680,6715.0254549090905,5.222222222222222
Eleginus gracilis,Gadidae,3077500,habitat_coastal,demersal,55,NA,285654.0008,0.307311992,4.1,Actinopteri,0.218337659,0.218337659,7.849166287,0.021204,1.699264547,NA,0.069384101,42.74830866,NA,0.069384101,42.74830866,-2,2,2,2: low/mid,2,315,Eleginus,Gadiformes,NA,fusiform / normal,22,NA,Saffron cod,planktonic,NA,15,5,178816.66666666666,338000,102.99666333333333,9.333333333333334
Eleginus nawaga,Gadidae,195000,habitat_coastal,demersal,42,NA,17168.72556,0.37986791600000003,4.238833545,Actinopteri,0.003297,0.003297,8.679299057,6.45e-6,0.166702532,NA,0.007992661,32.41993121,NA,0.007992661,32.41993121,-3,2,2,2: low/mid,2,314,Eleginus,Gadiformes,NA,fusiform / normal,22,NA,Navaga,planktonic,NA,12,-1,41000,62000,102.99666333333333,9.333333333333334
Eleutheronema tetradactylum,Polynemidae,8010000,habitat_coastal,pelagic-neritic,200,NA,41062.71573,0.643974845,4.06,Actinopteri,0.524649642,0.524649642,220.625,0.021204,24.63249455,NA,0.322865771,42.370226,NA,0.322865771,42.370226,-1,2,2,2: low/mid,2,340,Eleutheronema,Carangaria/misc,NA,elongated,42,EN,Fourfinger threadfin,planktonic,NA,20,28,681221,1114757,NA,4
Elops lacerta,Elopidae,542500,habitat_coastal,pelagic-neritic,100,NA,10312.44854,0.593623907,4.238833545,Actinopteri,0.021204,0.021204,69.37218463,0.003297,0.145837,NA,0.07117821,28.98779649,NA,0.07117821,28.98779649,-2,1,4,1: mid/low,1,4959,Elops,Elopiformes,NA,elongated,7,LC,West African ladyfish,planktonic,34.1,NA,24,NA,NA,NA,22.8
Elops saurus,Elopidae,7810000,habitat_coastal,reef-associated,100,NA,2233.495287,0.57364079,3.49,Actinopteri,0.029410133,0.029410133,69.37218463,0.014020895,0.3026,NA,0.072863547,32.02430763,NA,0.072863547,32.02430763,-2,2,2,2: low/mid,2,175,Elops,Elopiformes,11.3,elongated,7,LC,Ladyfish,planktonic,34.1,NA,27,NA,NA,NA,22.8
Encrasicholina punctifer,Engraulidae,8592500,pelagic,reef-associated,13,NA,1435.9987,1.630046044,3.29,Actinopteri,0.0013065,0.0013065,69.37218463,8.13e-6,0.32,NA,0.011713379,38.82104396,NA,0.011713379,38.82104396,-2,2,2,2: low/mid,2,558,Encrasicholina,Clupeiformes,NA,fusiform / normal,155,LC,Buccaneer anchovy,planktonic,NA,1.7000000476837158,20.6,9402,11294,1897.86812375,16
Engraulis anchoita,Engraulidae,967500,migratory,pelagic-neritic,17,NA,1175644.452,0.639382033,2.623162279,Actinopteri,0.020686774,0.020686774,69.37218463,8.13e-6,0.218337659,NA,0.009487446,48.42733423,NA,0.009487446,48.42733423,-3,2,2,2: low/mid,2,1659,Engraulis,Clupeiformes,NA,elongated,155,NT,Argentine anchovy,planktonic,26.5,5,13,41496.8,176006.16666666666,1897.86812375,16
Engraulis encrasicolus,Engraulidae,3817500,migratory,pelagic-neritic,20,NA,222703.8889,0.556514588,3.192849836,Actinopteri,0.060991803,0.060991803,5.523838677,8.13e-6,0.32,NA,0.010401397,39.352493,37,0.010401397,37,-2,2,2,2: low/mid,2,66,Engraulis,Clupeiformes,NA,elongated,155,LC,European anchovy,planktonic,26.5,5,21,13456.5,142134.25,1897.86812375,16
Engraulis japonicus,Engraulidae,760000,pelagic,pelagic-neritic,18,NA,1215063.273,0.795607578,3.14,Actinopteri,0.020686774,0.020686774,69.37218463,8.13e-6,0.259189177,NA,0.010445309,47.47253833,47,0.010445309,47,-2,2,2,2: low/mid,2,1663,Engraulis,Clupeiformes,8,elongated,155,LC,Japanese anchovy,planktonic,30,4,25,159586,315000,2018.7926653333334,22
Engraulis mordax,Engraulidae,360000,pelagic,pelagic-neritic,24.799999239999998,NA,424727.4555,0.452423043,3.174171555,Actinopteri,0.003297,0.003297,3.75,8.13e-6,0.220164213,NA,0.004865479,35.53136196,32.5,0.004865479,32.5,-3,2,2,2: low/mid,2,1664,Engraulis,Clupeiformes,NA,elongated,155,LC,Californian anchovy,planktonic,26.5,7,13,116006.25,220000,1897.86812375,16
Engraulis ringens,Engraulidae,470000,pelagic,pelagic-neritic,20,NA,6557901.089,0.648902669,2.950032091,Actinopteri,0.021204,0.021204,69.37218463,8.13e-6,0.259189177,NA,0.009782264,61.71822154,74,0.009782264,74,-3,3,8,3: mid/high,3,4,Engraulis,Clupeiformes,13,elongated,155,LC,Anchoveta,planktonic,23,3,16,10492.5,176006.16666666666,84,10
Eopsetta jordani,Pleuronectidae,1140000,habitat_benthic,demersal,53,NA,46749.37249,0.112547735,4.108085582,Actinopteri,0.04451615,0.04451615,4.438338373,0.003804817,0.301662063,NA,0.049505279,64.39376202,NA,0.049505279,64.39376202,-2,3,8,3: mid/high,3,4237,Eopsetta,Pleuronectiformes,NA,short and / or deep,62,LC,Petrale sole,planktonic,NA,35,9,800000,1200000,137.51355371900826,7.728571394511632
Epigonus telescopus,Epigonidae,8827500,habitat_deep,bathydemersal,75,NA,13691.58919,0.097286004,3.59,Actinopteri,0.048,0.048,39.83,0.02094379,3.75,NA,0.065250825,50.41641654,NA,0.065250825,50.41641654,-2,2,2,2: low/mid,2,2508,Epigonus,Acropomatiformes,NA,fusiform / normal,46,LC,Black cardinal fish,in close association with substrate,NA,104,19,NA,NA,NA,NA
Epinephelus aeneus,Serranidae,1792500,migratory,demersal,120,NA,5733.711363,0.173225323,4.033372459,Actinopteri,0.029410133,0.029410133,69.37218463,0.004257833,0.166702532,NA,0.068507162,50.45733321,NA,0.068507162,50.45733321,-2,2,2,2: low/mid,2,426,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,NT,White grouper,planktonic,NA,31.727272727272727,27,3238888,26110545.411764707,194.93333333333334,5
Epinephelus areolatus,Serranidae,12137500,habitat_coastal,reef-associated,47,NA,5778.412723,0.322549477,3.74,Actinopteri,0.048,0.048,24.63249455,0.015758747,8.5,NA,0.119185781,39.74889187,18,0.119185781,18,-1,1,4,1: mid/low,1,5367,Epinephelus,Perciformes/Serranoidei,NA,short and / or deep,101,LC,Areolate grouper,planktonic,NA,15,28,57867.5,93607,194.93333333333334,5
Epinephelus chlorostigma,Serranidae,13235000,habitat_coastal,reef-associated,80,NA,363.1224699,0.314979131,4.005355039,Actinopteri,5.55,5.55,91382,0.027348309,23.22898081,NA,1.559643527,39.15809811,NA,1.559643527,39.15809811,0,2,6,5: mid/mid,5,5524,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,LC,Brownspotted grouper,planktonic,NA,29,28,3238888,26110545.411764707,194.93333333333334,5
Epinephelus fuscoguttatus,Serranidae,9805000,habitat_reef,reef-associated,120,NA,144.5838132,0.269601411,4.145442143,Actinopteri,0.027348309,0.027348309,24.51591858,0.0013065,0.166702532,NA,0.062403648,33.8602726,NA,0.062403648,33.8602726,-2,2,2,2: low/mid,2,4460,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,VU,Brown-marbled grouper,planktonic,NA,40,27,2122392.5,3287515,194.93333333333334,5
Epinephelus goreensis,Serranidae,562500,habitat_benthic,demersal,140,NA,641.958191,0.286760108,3.958659337,Actinopteri,0.022602017,0.022602017,69.37218463,0.003297,0.263365588,NA,0.119300261,49.41437008,NA,0.119300261,49.41437008,-1,2,2,2: low/mid,2,4961,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,NT,Dungat grouper,planktonic,NA,31.727272727272727,27,3238888,26110545.411764707,194.93333333333334,5
Epinephelus marginatus,Serranidae,2530000,territorial,reef-associated,150,dusky grouper,43372.70186,0.110074674,4.43,Actinopteri,0.048,0.048,28773,0.0034,1.779346088,0.005312,0.163253304,38.60000998,24.6,0.005312,24.6,-3,1,4,1: mid/low,1,6470,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,VU,Dusky grouper,planktonic,NA,60,26,4025129.5,7984835,194.93333333333334,5
Epinephelus merra,Serranidae,9600000,habitat_reef,reef-associated,36.5,NA,15891.93816,0.431465308,3.82,Actinopteri,0.222006046,0.222006046,8.5,0.014020895,0.419377278,NA,0.04890777,29.92500375,34.3,0.04890777,34.3,-2,2,2,2: low/mid,2,4923,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,LC,Honeycomb grouper,planktonic,NA,31.727272727272727,27.11764705882353,3238888,26110545.411764707,194.93333333333334,5
Epinephelus morio,Serranidae,3007500,habitat_benthic,reef-associated,125,red grouper,44841.13184,0.214918572,3.5,Actinopteri,0.027348309,0.027348309,42.10249306,0.0034,0.218337659,2.09,0.061036077,53.7506019,40,2.09,40,0,2,6,5: mid/mid,5,17,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,VU,Red grouper,planktonic,NA,25,26,9078435,17141170,194.93333333333334,5
Epinephelus morrhua,Serranidae,9242500,habitat_reef,reef-associated,90,NA,204.5017043,0.270980627,3.986676758,Actinopteri,0.145837,0.145837,23.22898081,0.021204,4.17,NA,0.067772186,34.67757053,NA,0.067772186,34.67757053,-2,2,2,2: low/mid,2,5353,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,LC,Comet grouper,planktonic,NA,31.727272727272727,28,3238888,26110545.411764707,194.93333333333334,5
Epinephelus multinotatus,Serranidae,615000,habitat_reef,reef-associated,100,NA,3257.873463,0.272952283,3.883946215,Actinopteri,0.025016,0.025016,7.849166287,0.004257833,0.040637322,NA,0.06742398,37.34714184,NA,0.06742398,37.34714184,-2,2,2,2: low/mid,2,7354,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,LC,White-blotched grouper,planktonic,NA,31.727272727272727,28,3238888,26110545.411764707,194.93333333333334,5
Epinephelus polylepis,Serranidae,1007500,habitat_benthic,demersal,61,NA,2055.955937,0.281408755,3.89,Actinopteri,0.027348309,0.027348309,8.5,0.0034,0.218337659,NA,0.047240147,52.87685851,NA,0.047240147,52.87685851,-2,2,2,2: low/mid,2,7358,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,LC,Smallscaled grouper,planktonic,NA,31.727272727272727,27.11764705882353,3238888,26110545.411764707,194.93333333333334,5
Epinephelus striatus,Serranidae,2580000,habitat_reef,reef-associated,122,nassau grouper,2316.178743,0.263107501,4.06,Actinopteri,0.029410133,0.029410133,69.37218463,0.004257833,0.145837,0.018305,0.069628112,39.21400964,42,0.018305,42,-2,2,2,2: low/mid,2,18,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,CR,Nassau grouper,planktonic,NA,29,26,3238888,5413720,194.93333333333334,5
Epinephelus summana,Serranidae,345000,habitat_reef,reef-associated,52,NA,154.7495583,0.286760108,3.89,Actinopteri,0.003297,0.003297,3.75,6.45e-6,0.029410133,NA,0.007895878,39.78773094,NA,0.007895878,39.78773094,-3,2,2,2: low/mid,2,7366,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,LC,Summan grouper,planktonic,NA,31.727272727272727,27,3238888,26110545.411764707,194.93333333333334,5
Epinephelus tauvina,Serranidae,13810000,habitat_reef,reef-associated,100,greasy grouper,14708.16501,0.187076498,4.136103002,Actinopteri,0.77,0.77,91382,0.014020895,23.92044613,0.344,1.692605614,35.52875374,NA,0.344,35.52875374,-1,2,2,2: low/mid,2,4461,Epinephelus,Perciformes/Serranoidei,NA,fusiform / normal,101,DD,Greasy grouper,planktonic,NA,31.727272727272727,27,170177494.5,340000000,194.93333333333334,5
Eptatretus cirrhatus,Myxinidae,1312500,habitat_benthic,bathydemersal,97,NA,1765.180643,0.14925158,4.948608206,Myxini,0.04451615,0.04451615,23.22898081,0.0034,0.75925,NA,0.063140017,52.79401611,NA,0.063140017,52.79401611,-2,2,2,2: low/mid,2,23878,Eptatretus,Myxiniformes,NA,eel-like,88,LC,Broadgilled hagfish,in close association with substrate,NA,NA,9,24.666666666666668,67,7.36,11.5
Ethmalosa fimbriata,Clupeidae,467500,habitat_coastal,pelagic-neritic,46,NA,391365.8495,0.690830323,2.576466614,Actinopteri,0.040637322,0.040637322,69.37218463,0.020686774,0.364,NA,0.080558134,38.78619663,NA,0.080558134,38.78619663,-2,2,2,2: low/mid,2,1594,Ethmalosa,Clupeiformes,NA,fusiform / normal,15,LC,Bonga shad,planktonic,NA,15.25,27,69637.5,119375,NA,17
Ethmidium maculatum,Clupeidae,310000,habitat_coastal,pelagic-neritic,31.200000760000002,NA,32220.37839,1.165208538,2.07,Actinopteri,8.13e-6,8.13e-6,3.790022135,6.45e-6,0.003297,NA,0.002424207,42.46396412,NA,0.002424207,42.46396412,-3,2,2,2: low/mid,2,1593,Ethmidium,Clupeiformes,NA,fusiform / normal,15,DD,Pacific menhaden,planktonic,NA,15.25,18,NA,54509.42857142857,NA,17
Etrumeus whiteheadi,Dussumieriidae,227500,habitat_coastal,pelagic-neritic,22,NA,402624.5557,0.423849558,3.454345763,Actinopteri,8.13e-6,8.13e-6,0.638683313,6.45e-6,0.025016,NA,0.002101719,33.69506383,NA,0.002101719,33.69506383,-3,2,2,2: low/mid,2,1456,Etrumeus,Clupeiformes,NA,elongated,14,LC,Whitehead's round herring,planktonic,NA,NA,20,NA,21023,NA,NA
Euthynnus affinis,Scombridae,14720000,pelagic,pelagic-neritic,100,NA,2460508.938,0.630833414,4.5,Actinopteri,23.22898081,23.22898081,138546.9177,0.027348309,28773,NA,3.791478621,32.98945594,NA,3.791478621,32.98945594,0,2,6,5: mid/mid,5,96,Euthynnus,Scombriformes,18,fusiform / normal,54,LC,Kawakawa,planktonic,29,6,28,434227,680000,503,11
Euthynnus alletteratus,Scombridae,5647500,hms,pelagic-oceanic,122,NA,115033.1049,0.330255295,4.49,Actinopteri,0.04451615,0.04451615,42.10249306,0.014020895,0.3026,NA,0.090618991,30.59830953,24,0.090618991,24,-2,1,4,1: mid/low,1,97,Euthynnus,Scombriformes,NA,fusiform / normal,54,LC,Little tunny,planktonic,29,10,24,1135500,2200000,503,11
Euthynnus lineatus,Scombridae,477500,pelagic,pelagic-oceanic,84,NA,15997.52595,0.516132309,3.855928723,Actinopteri,0.025016,0.025016,69.37218463,0.017712,1.254059326,NA,0.073248952,27.18352132,NA,0.073248952,27.18352132,-2,1,4,1: mid/low,1,98,Euthynnus,Scombriformes,NA,fusiform / normal,54,LC,Black skipjack,planktonic,29,8,28,434227,1440000,503,11
Eutrigla gurnardus,Triglidae,2227500,habitat_benthic,demersal,60,NA,147714.1468,0.181531455,3.87,Actinopteri,0.04451615,0.04451615,8.5,0.006904422,0.77,NA,0.051979046,55.31665192,NA,0.051979046,55.31665192,-2,2,2,2: low/mid,2,68,Eutrigla,Perciformes/Scorpaenoidei,NA,elongated,129,LC,Grey gurnard,planktonic,NA,13.25,6,250000,300000,NA,16
Fistularia corneta,Fistulariidae,792500,habitat_reef,pelagic-neritic,106,NA,2562.317579,0.858533703,4.481651192,Actinopteri,0.029410133,0.029410133,220.625,0.007726488,0.75925,NA,0.086061017,35.14450956,NA,0.086061017,35.14450956,-2,2,2,2: low/mid,2,8289,Fistularia,Syngnathiformes,NA,elongated,4,LC,Pacific cornetfish,planktonic,NA,NA,23,NA,NA,NA,NA
Gadiculus argenteus,Gadidae,1740000,habitat_deep,pelagic-oceanic,15.25,NA,159.7449863,0.917086686,3.6,Actinopteri,0.020686774,0.020686774,0.419377278,8.13e-6,0.32,NA,0.00972907,37.48686894,NA,0.00972907,37.48686894,-3,2,2,2: low/mid,2,1875,Gadiculus,Gadiformes,NA,fusiform / normal,22,LC,Silvery pout,planktonic,NA,3,7.055555555555555,354423.3333333333,2884841.888888889,121.0634536097561,9.333333333333334
Gadus macrocephalus,Gadidae,2920000,habitat_deep,demersal,119,NA,1100617.358,0.254822292,3.97,Actinopteri,0.040637322,0.040637322,9.919689167,0.017712,0.43700397,NA,0.066027761,47.69530642,NA,0.066027761,47.69530642,-2,2,2,2: low/mid,2,308,Gadus,Gadiformes,NA,fusiform / normal,22,NA,Pacific cod,planktonic,12,25,4,1983226.1904761903,2742166.6666666665,68.8675,9
Gadus morhua,Gadidae,4322500,migratory,benthopelagic,200,atlantic cod,1024823.823,0.368813682,4.09,Actinopteri,0.524649642,0.524649642,69.37218463,0.030306525,7.78,0.524649642,0.263105037,84.57648848,120.25,0.524649642,120.25,-1,5,9,4: mid/veryhigh,4,69,Gadus,Gadiformes,0,fusiform / normal,22,VU,Atlantic cod,planktonic,15,25,6,4122587.686764706,7329546.55,127.71091390728476,15
Galeoides decadactylus,Polynemidae,197500,habitat_coastal,demersal,50,NA,44470.1575,0.509571815,3.613111148,Actinopteri,0.003297,0.003297,4.438338373,6.45e-6,0.3026,NA,0.009452993,35.51666297,NA,0.009452993,35.51666297,-3,2,2,2: low/mid,2,341,Galeoides,Carangaria/misc,NA,fusiform / normal,42,NT,Lesser African threadfin,in close association with substrate,NA,20,25,681221,1114757,NA,4
Gasterochisma melampus,Scombridae,63335000,deep,pelagic-oceanic,164,NA,20.80741126,0.596518223,4.341564088,Actinopteri,23.22898081,23.22898081,93840.98602,0.007641758,24.63249455,NA,8.262882849,41.02734204,NA,8.262882849,41.02734204,0,2,6,5: mid/mid,5,100,Gasterochisma,Scombriformes,NA,fusiform / normal,54,LC,Butterfly kingfish,in close association with substrate,14.5,12.223809560139975,24.97142857142857,574410.7692307692,3609726.4266666668,524.3454545454546,6.5
Gasterosteus aculeatus,Gasterosteidae,6017500,habitat_coastal,benthopelagic,11,NA,579.8245284,0.997632856,3.31,Actinopteri,0.0013065,0.0013065,10.48565514,8.13e-6,0.32,NA,0.010010257,37.26381718,35,0.010010257,35,-2,2,2,2: low/mid,2,2420,Gasterosteus,Perciformes/Gasterosteoidei,4,fusiform / normal,20,LC,Three-spined stickleback,non-planktonic,20,8,7,475.8333333333333,875,275.32083083333333,16
Genyonemus lineatus,Sciaenidae,135000,habitat_benthic,benthopelagic,41,NA,822.3303962,0.624615121,3.482363184,Actinopteri,0.003297,0.003297,0.77,6.45e-6,0.060991803,NA,0.005923398,41.59549948,NA,0.005923398,41.59549948,-3,2,2,2: low/mid,2,422,Genyonemus,Eupercaria/misc,NA,fusiform / normal,293,NT,White croaker,planktonic,NA,15,13,19000,37200,520.7365628125,7.9
Genypterus blacodes,Ophidiidae,2330000,habitat_benthic,bathydemersal,200,NA,209832.9261,0.130878043,4.182798704,Actinopteri,0.025016,0.025016,39.83,0.0017922,0.75925,NA,0.189987792,56.68640933,NA,0.189987792,56.68640933,-1,2,2,2: low/mid,2,482,Genypterus,Ophidiiformes,NA,elongated,269,NA,Pink cusk-eel,in close association with substrate,NA,30,16,1200000,NA,6.72,5.00000047683716
Genypterus capensis,Ophidiidae,127500,habitat_benthic,bathydemersal,180,NA,24613.76694,0.18214067,4.425616351,Actinopteri,0.0017922,0.0017922,27.3197105,6.45e-6,0.054107361,NA,0.026190372,49.36957741,NA,0.026190372,49.36957741,-2,2,2,2: low/mid,2,485,Genypterus,Ophidiiformes,NA,elongated,269,NA,Kingklip,in close association with substrate,NA,30,21,1200000,NA,6.72,5.00000047683716
Genypterus chilensis,Ophidiidae,125000,habitat_benthic,bathydemersal,150,NA,22836.35898,0.203416315,3.939981057,Actinopteri,0.0017922,0.0017922,7.78,6.45e-6,0.025016,NA,0.017974519,49.28743459,NA,0.017974519,49.28743459,-2,2,2,2: low/mid,2,483,Genypterus,Ophidiiformes,NA,elongated,269,NA,Red cusk-eel,in close association with substrate,NA,30,23,1200000,NA,6.72,5.00000047683716
Gerres nigri,Gerreidae,572500,habitat_benthic,benthopelagic,20,NA,1825.975119,1.495810086,3.258223817,Actinopteri,0.003297,0.003297,0.902079429,8.13e-6,0.115398472,NA,0.008747135,51.94826106,NA,0.008747135,51.94826106,-3,2,2,2: low/mid,2,9907,Gerres,Eupercaria/misc,NA,fusiform / normal,53,LC,Guinean striped mojarra,planktonic,24.666666666666668,NA,25,NA,NA,NA,3
Gerres oblongus,Gerreidae,9027500,habitat_reef,reef-associated,30,NA,14.31732558,1.495810086,3.547737166,Actinopteri,0.0013065,0.0013065,4.477796392,8.13e-6,0.218337659,NA,0.009914161,35.72425066,NA,0.009914161,35.72425066,-3,2,2,2: low/mid,2,5801,Gerres,Eupercaria/misc,NA,fusiform / normal,53,LC,Slender silver-biddy,planktonic,24.666666666666668,NA,28,NA,NA,NA,3
Gerres oyena,Gerreidae,8420000,habitat_coastal,reef-associated,30,NA,563.1579604,1.594337758,2.819284225,Actinopteri,0.0013065,0.0013065,4.477796392,8.13e-6,0.3026,NA,0.010373126,36.669512,NA,0.010373126,36.669512,-2,2,2,2: low/mid,2,5996,Gerres,Eupercaria/misc,NA,fusiform / normal,53,LC,Common silver-biddy,planktonic,24.666666666666668,NA,27,NA,NA,NA,3
